type,size,time
naive,1,0.000006
naive,1,0.000005
naive,1,0.000005
naive,1,0.000005
naive,1,0.000005
naive,1,0.000005
naive,1,0.000005
naive,1,0.000005
naive,1,0.000005
naive,1,0.000005
naive,50,0.000662
naive,50,0.003173
naive,50,0.000606
naive,50,0.001108
naive,50,0.004608
naive,50,0.001341
naive,50,0.001247
naive,50,0.000633
naive,50,0.000591
naive,50,0.000667
naive,100,0.017195
naive,100,0.023253
naive,100,0.017988
naive,100,0.026258
naive,100,0.038301
naive,100,0.016633
naive,100,0.019715
naive,100,0.030910
naive,100,0.027105
naive,100,0.027620
naive,500,2.700826
naive,500,1.713478
naive,500,2.070006
naive,500,1.693617
naive,500,1.728151
naive,500,1.728441
naive,500,2.013299
naive,500,1.357875
naive,500,2.090976
naive,500,2.246945
naive,1000,13.732613
naive,1000,19.911653
naive,1000,13.225387
naive,1000,15.303530
naive,1000,14.632118
naive,1000,16.836633
naive,1000,35.195056
naive,1000,12.824661
naive,1000,19.384149
naive,1000,14.335632
naive,1100,23.851449
naive,1100,20.381361
naive,1100,19.705683
naive,1100,21.783862
naive,1100,46.507639
naive,1100,38.300436
naive,1100,34.256010
naive,1100,31.474478
naive,1100,40.021777
naive,1100,36.331269
naive,1200,37.925719
naive,1200,41.223718
naive,1200,45.783349
naive,1200,52.708449
naive,1200,41.800109
naive,1200,41.442658
naive,1200,45.643839
naive,1200,38.767450
naive,1200,41.046934
naive,1200,42.607146
naive,1300,44.795229
naive,1300,48.844365
naive,1300,62.986572
naive,1300,48.372584
naive,1300,55.754412
naive,1300,66.587654
naive,1300,65.243332
naive,1300,75.756776
naive,1300,81.820385
naive,1300,49.767384
naive,1400,75.212935
naive,1400,70.742328
naive,1400,78.725627
naive,1400,73.705690
naive,1400,69.278135
naive,1400,73.467067
naive,1400,51.044499
naive,1400,70.261261
naive,1400,82.528003
naive,1400,89.839529
naive,1500,119.273416
naive,1500,116.380505
naive,1500,106.337532
naive,1500,87.609685
naive,1500,80.766053
naive,1500,70.133564
naive,1500,175.529162
naive,1500,106.605335
naive,1500,135.224934
naive,1500,85.176420
better,1,0.000005
better,1,0.000006
better,1,0.000005
better,1,0.000005
better,1,0.000005
better,1,0.000005
better,1,0.000005
better,1,0.000006
better,1,0.000005
better,1,0.000005
better,50,0.001374
better,50,0.000946
better,50,0.000594
better,50,0.002366
better,50,0.001579
better,50,0.007653
better,50,0.001149
better,50,0.000586
better,50,0.000678
better,50,0.000650
better,100,0.023811
better,100,0.026402
better,100,0.022857
better,100,0.008940
better,100,0.027435
better,100,0.036716
better,100,0.022843
better,100,0.016901
better,100,0.015046
better,100,0.029899
better,500,1.480305
